city in NY,longitude and latitude,zip code
New York,40.748/-73.997,10001
New York,40.715/-73.988,10002
New York,40.731/-73.989,10003
New York,40.696/-74.025,10004
New York,40.706/-74.008,10005
New York,40.714/-74.007,10007
New York,40.737/-73.981,10010
New York,40.74/-74,10011
New York,40.726/-73.998,10012
New York,40.719/-74.003,10013
New York,40.734/-74.005,10014
New York,40.744/-73.978,10016
New York,40.752/-73.971,10017
New York,40.755/-73.993,10018
New York,40.765/-73.986,10019
New York,40.735/-73.997,10020
New York,40.768/-73.959,10021
New York,40.757/-73.966,10022
New York,40.776/-73.983,10023
New York,40.786/-73.976,10024
New York,40.797/-73.968,10025
New York,40.776/-73.953,10028
New York,40.76/-73.992,10036
New York,40.71/-74.001,10038
New York,40.765/-73.964,10065
New York,40.782/-73.951,10128
Ardsley,41.011/-73.841,10502
Bedford,41.191/-73.636,10506
Croton On Hudson,41.218/-73.892,10520
Irvington,41.038/-73.86,10533
Mount Vernon,40.908/-73.838,10550
Mount Vernon,40.913/-73.837,10551
Mount Vernon,40.923/-73.83,10552
Scarsdale,40.993/-73.799,10583
Yorktown Heights,41.3/-73.792,10598
White Plains,41.033/-73.765,10601
White Plains,41.05/-73.778,10603
White Plains,41.014/-73.755,10605
Yonkers,40.946/-73.867,10701
Yonkers,40.918/-73.859,10704
New Rochelle,40.917/-73.788,10801
Holtsville,40.815/-73.045,00501
Holtsville,40.815/-73.045,00544
Fishers Island,41.264/-72.018,06390
New York,40.708/-74.013,10006
New York,40.714/-74.006,10008
New York,40.726/-73.98,10009
New York,40.802/-73.953,10026
New York,40.812/-73.955,10027
New York,40.792/-73.945,10029
New York,40.818/-73.943,10030
New York,40.825/-73.951,10031
New York,40.838/-73.942,10032
New York,40.85/-73.936,10033
New York,40.866/-73.922,10034
New York,40.801/-73.937,10035
New York,40.813/-73.938,10037
New York,40.826/-73.938,10039
New York,40.858/-73.93,10040
New York,40.704/-74.01,10041
New York,40.781/-73.977,10043
New York,40.762/-73.951,10044
New York,40.709/-74.009,10045
New York,40.781/-73.977,10055
New York,40.778/-73.988,10069
New York,40.781/-73.977,10080
New York,40.714/-74.006,10081
New York,40.781/-73.977,10087
New York,40.781/-73.977,10101
New York,40.781/-73.977,10102
New York,40.76/-73.976,10103
New York,40.761/-73.98,10104
New York,40.763/-73.979,10105
New York,40.765/-73.98,10106
New York,40.766/-73.983,10107
New York,40.781/-73.977,10108
New York,40.781/-73.977,10109
New York,40.754/-73.981,10110
New York,40.759/-73.978,10111
New York,40.759/-73.98,10112
New York,40.781/-73.977,10113
New York,40.781/-73.977,10114
New York,40.811/-73.964,10115
New York,40.781/-73.977,10116
New York,40.781/-73.977,10117
New York,40.749/-73.986,10118
New York,40.781/-73.977,10119
New York,40.751/-73.989,10120
New York,40.75/-73.992,10121
New York,40.752/-73.992,10122
New York,40.751/-73.991,10123
New York,40.781/-73.977,10124
New York,40.781/-73.977,10125
New York,40.781/-73.977,10126
New York,40.781/-73.977,10129
New York,40.781/-73.977,10130
New York,40.781/-73.977,10131
New York,40.781/-73.977,10132
New York,40.781/-73.977,10133
New York,40.781/-73.977,10138
